twitter_uid,Gender,Friends_count,Followers_count,Avg_Tweet,Avg_Word_length,Avg_Sentence_length,Avg_Punctuation,Avg_Capitalized_Words,Avg_Slang_words,Avg_emojis,Avg_words_found,tweets,retweets,images,urls
259065232,M,48,157,5.84,6,11,3905,3.78,10,0,"[u'uber', u'r', u'vs', u'u']",469,0,0.0021,0.0235
2979295036,M,834,520,7.06,6,14,3289,3.43,197,477,"[u'btw', u'omg', u'buddy', u'g', u'congrats', u'fav', u'ur', u'bro', u'r', u'u', u'wtf', u'kinda', u'luv']",434,50,0.0517,0.5888
132647115,M,380,217,0.57,5,12,3170,16.88,5,873,"[u'bro', u'x', u'r', u'u', u'lol']",300,15,0.073,0.946
3031914133,M,234,77,0.91,5,12,3036,0.14,2,15,[u'uber'],280,0,0,0.9857
103270515,M,1597,837,15.88,5,11,2836,0.83,18,25,"[u'swag', u'kinda', u'lol', u'r', u'u', u'wtf', u'smh', u'x', u'nvm', u'wanna']",560,40,0.0217,0.3917
1513604743,F,338,239,3.7,7,10,2652,3.76,2,7,"[u'r', u'g']",378,22,0.01,0.92
49649821,M,1810,2919,1.55,4,16,2619,3.09,12,44,"[u'g', u'r', u'perv', u'msg', u'x', u'aka']",431,21,0.1394,0.6217
25745158,M,318,6485,52.74,5,15,2558,1.13,23,111,"[u'iggy', u'lil', u'lol', u'fml', u'vs', u'u', u'kinda', u'r', u'wanna']",383,17,0.02,0.93
25422792,F,1021,603,2.33,5,13,2473,0.89,41,269,"[u'omg', u'luv', u'lil', u'dope', u'atm', u'fav', u'lol', u'ur', u'til', u'r', u'u']",364,2,0,0.9727
52554906,M,3150,1568,0.92,8,10,2461,0.48,2,61,"[u'r', u'congrats']",270,235,0.0139,0.3762
552371398,F,1283,333,2.49,6,11,2421,2.61,23,111,"[u'omg', u""c'mon"", u'g', u'nah', u'fyi', u'lmao', u'lol', u'yawn', u'r', u'u', u'kinda', u'jk', u'aka', u'bff']",577,23,0.18,0.4967
40275479,F,104,4656,1.27,5,14,2390,0.07,10,21,"[u'omg', u'cuz', u'lol', u'til', u'u', u'kinda', u'smh', u'omw']",375,25,0.0425,0.84
62517001,F,2535,3331,41.09,5,14,2362,5.24,120,37,"[u'flick', u'btw', u'lmao', u'ty', u'congrats', u'lol', u'bro', u'r', u'u']",337,462,0.025,0.2991
3674836277,M,58,98,1.33,4,16,2275,4.64,10,149,"[u'lol', u'thanx']",326,9,0.006,0.9731
142709459,M,459,410,5.46,5,11,2265,1.27,10,1,"[u'lmao', u'congrats', u'thx', u'lol', u'r', u'u', u'b-day']",372,28,0,0.2075
56890592,F,253,2535,6,4,18,2247,2.65,144,800,"[u'g', u'thx', u'fyi', u'plz', u'asap', u'b4', u'r', u'u', u'4ward', u'2day']",455,12,0.0835,0.9422
24013474,M,2784,2775,24.45,5,9,2229,2.05,52,7,"[u'btw', u'ugh', u'omg', u""c'mon"", u'congrats', u'pro', u'fyi', u'fav', u'tyvm', u'lol', u'vs', u'wtf', u'buddy', u'lmao']",520,79,0.2154,0.2955
16968765,M,2938,2695,17.99,4,14,2191,3.41,15,20,"[u'btw', u'g', u'congrats', u'fyi', u'r', u'smh', u'tfw', u'wanna', u'whoa']",353,46,0.0251,0.6241
24294764,M,684,7914,3.26,5,12,2167,3.65,182,77,"[u'uber', u'pro', u'bro', u'vs', u'sec', u'buddy', u'ty', u'lol', u'fml', u'smh', u'msg', u'idk', u'omg', u'asap', u'plz', u'cya', u'wtf', u'lmao', u'g', u'atm', u'u', u'congrats', u'aka', u'wanna']",526,124,0.2969,0.4662
158816628,M,32,903,0.85,4,11,2150,3.16,51,64,"[u'mvp', u'ru', u'bf', u'scrub', u'bestie', u'congrats', u'dope', u'thx', u'fav', u'lol', u'vs', u'kinda', u'lmk', u'aka', u'deets', u'm8']",383,17,0,0.955
8.72E+17,M,424,84,0.47,5,18,2108,4.01,27,8,"[u'btw', u'omg', u'congrats', u'ty', u'lol', u'vs', u'pls', u'aka', u'wanna']",353,51,0.0149,0.8218
21026095,M,1983,1859,42.73,5,14,2075,3.35,0,0,[],352,48,0.585,0.855
492617058,M,2116,1340,7.49,4,17,2053,3.5,19,25,"[u'ru', u'congrats', u'app', u'pro', u'bro', u'r', u'wtf', u'jk', u'eu', u'dope']",434,51,0,0.433
8.00E+17,F,133,44,1.67,5,12,2037,1.02,24,4,"[u""c'mon"", u'bozo', u'bravo', u'lol', u'ppl', u'r', u'aka']",465,15,0,0.0958
3540051,M,118,211,1.06,6,12,2012,0.52,2,22,[u'vs'],334,2,0,0.9821
307349199,M,2825,2858,5.1,4,18,2009,0.64,7,0,"[u'u', u'pls', u'lol']",410,3,0.0145,0.9637
134422136,M,58,120,5.06,20,6,1990,12.76,4,2,"[u'uber', u'r', u'buddy']",400,0,0,0.7225
34585196,M,352,709,10.52,4,15,1940,1.27,19,69,"[u'btw', u'luv', u'bravo', u'bro', u'fb', u'r', u'u', u'wtf', u'wanna']",306,210,0.0349,0.2655
87542310,M,1023,1097,5.06,4,14,1933,6.21,13,5,"[u'wtf', u'omg', u'bestie', u'vs', u'cuz', u'r', u'kinda', u'aka', u'wanna', u'bff']",444,1,0,0.8607
921920156,M,603,187,1.32,6,12,1932,0.7,14,0,"[u'g', u'asap', u'congrats', u'lol', u'gal', u'wtf']",383,76,0.0806,0.4052
184311007,M,452,361,1.69,5,11,1932,3.94,21,303,"[u'uber', u'omg', u'g', u'nah', u'fyi', u'fav', u""i'ma"", u'ppl', u'vs', u'dope', u'wtf', u'x', u'app', u'wanna', u'brb']",392,8,0.125,0.49
53100986,M,849,3518,3.73,4,18,1886,1.84,11,0,"[u'g', u'pro', u'bro', u'r', u'u', u'x']",331,57,0,0.6598
235768743,M,1166,1075,1.63,5,17,1878,2.03,50,0,"[u'pls', u'congrats', u'bravo', u'fav', u'lol', u'fb', u'r', u'u', u'yum', u'cutie', u'wanna']",341,5,0.0347,0.6243
11850692,F,608,833,4.8,4,14,1875,1.69,34,247,"[u'bae', u'ugh', u'pls', u'lmao', u'g', u'thx', u'lil', u'wanna', u'congrats', u'lol', u'ppl', u'til', u'vs', u'u', u'imo', u'ga', u'bravo', u'deets']",326,92,0.0981,0.4641
1901462414,M,23,9,0.46,4,18,1857,4.22,106,0,"[u'ltr', u'g', u'lil', u'atm', u'hw', u'lol', u'ppl', u'r', u'u', u'wtf', u'x', u'ur', u'no1']",399,1,0.025,0.6825
376154503,M,88,1514,13.07,5,14,1838,9.12,24,11,"[u'nk', u'nm', u'g', u'til', u'eu', u'fb', u'vs', u'u', u'ga', u'np', u'sec', u'r', u""c'mon""]",368,32,0.08,0.565
226769474,M,1255,1107,1.5,5,13,1816,0.86,22,531,"[u'ru', u'omg', u'bestie', u'congrats', u'vs', u'lol', u'ur', u'r', u'u', u'kinda', u'cutie', u'whoa']",366,3,0.0298,0.9621
544419402,M,772,839,2.83,5,15,1805,1.24,35,51,"[u'btw', u'g', u'ty', u'thx', u'gr8', u'ur', u'b4', u'vs', u'u', u'imo', u'twt', u'x', u'r']",302,98,0.005,0.44
2333129595,M,943,1762,5.68,4,15,1802,1.68,20,0,"[u'mvp', u'app', u'phat', u'imo', u'yawn', u'r', u'x', u'aka', u'tc']",394,61,0.0154,0.2264
221098962,M,878,3466,13.29,5,14,1790,1.28,22,3,"[u'g', u'imo', u'vs', u'u', u'lol', u'x']",400,0,0.0525,0.255
989113290,M,227,1852,1.34,5,14,1780,3.75,38,95,"[u'pls', u'omg', u'congrats', u'app', u'asap', u'fav', u'cuz', u'lol', u'ppl', u'b4', u'u', u'x', u'thx']",318,21,0.0472,0.6637
55191207,M,568,3454,3.1,4,16,1779,2.15,32,0,"[u'gg', u'btw', u'swag', u'omg', u'g', u'ngl', u'wanna', u'nah', u'vs', u'cuz', u'lol', u'bro', u'r', u'irl', u'imo', u'kinda', u'smh', u'u', u'nvm', u'lul']",428,98,0.0247,0.2738
1315572535,M,229,249,1.55,4,13,1759,1.25,7,43,"[u'bravo', u'lol', u'lua', u'r', u'u', u'eu']",338,105,0.1625,0.5305
855641628,F,1060,544,3.82,5,18,1755,0.58,279,543,"[u'otoh', u'btw', u'4u', u'omg', u'thx', u'bday', u'congrats', u'fav', u'lol', u'ur', u'b4', u'yawn', u'r', u'u', u'wtg', u'wanna', u'no1']",425,4,0.2284,0.6177
376159441,F,76,287,5.37,5,15,1736,2.11,6,0,"[u'pro', u'buddy', u'g', u'ppl']",373,27,0,0.38
4530022333,M,1479,583,2.56,6,12,1735,1.71,7,238,"[u'omg', u'luv', u'bday', u'lol', u'yum', u'thanx']",398,2,0,0.99
727056229,F,5161,5224,2.9,4,18,1734,7.16,27,0,"[u'g', u'congrats', u'lol', u'fb', u'r', u'u', u'aka', u'wanna']",312,81,0.0483,0.5522
192760019,M,675,224,1.8,5,15,1727,1.15,9,0,"[u'lulz', u'nah', u'lol', u'gg', u'r', u'u', u'x', u'tfw']",330,70,0.0675,0.5075
2734365924,M,100,180,0.58,7,11,1721,0.86,0,0,[],273,19,0.8459,0.9349
2504660090,F,302,203,0.34,5,14,1720,1.62,18,600,"[u'ru', u'bae', u""c'mon"", u'bday', u'vs', u'lil', u'gal', u'kinda', u'aka', u'wanna']",267,18,0.007,0.9018
125344847,F,1509,2721,4.27,6,12,1715,2.64,19,164,"[u'bf', u'ugh', u'omg', u'kinda', u'ftw', u'asap', u'g', u'fb', u'r', u'irl', u'b-day', u'x', u'wanna', u'shoulda']",379,21,0.14,0.4275
27116949,M,433,1550,5.09,4,13,1694,1.58,16,37,"[u'swag', u'pls', u'congrats', u'fyi', u'lol', u'u']",383,73,0.0219,0.5855
879814729,M,689,358,0.97,5,13,1693,2.08,19,26,"[u'g', u'app', u'fav', u'cuz', u'ppl', u'r', u'u', u'wtf', u'msg']",361,19,0.0342,0.6368
1558290756,M,84,327,3.75,5,10,1685,5.36,67,96,"[u'flick', u'bro', u""c'mon"", u'lmao', u'luv', u'lil', u'app', u'vs', u'btw', u'lol', u'til', u'r', u'u', u'wtf', u'kinda', u'x', u'aka', u'nah', u'wb']",397,3,0.245,0.375
3262298128,M,353,137,7.66,5,12,1684,4.13,30,73,"[u'ugh', u'omg', u'kinda', u'ty', u'ngl', u'dunno', u'nah', u'congrats', u'lol', u'fml', u'r', u'irl', u'idk', u'wtf', u'sec', u'cutie', u'whoa']",421,131,0.0217,0.096
8.05E+17,F,3101,1566,22.98,6,11,1683,6.21,45,144,"[u'btw', u'ugh', u'pls', u'kinda', u'luv', u'ty', u'pro', u'fyi', u'lol', u'ppl', u'asap', u'vs', u'wtf', u'x', u'omg', u'r', u'nah']",390,248,0.0204,0.4028
93890121,M,2125,792,3.11,5,12,1679,4.05,49,44,"[u'x', u'nk', u'omg', u'ga', u'luv', u'app', u'cuz', u'lol', u'r', u'u', u'wtf', u'smh', u'yum']",362,30,0.0102,0.8444
875141604,F,239,201,4.58,5,15,1676,1.29,50,22,"[u'uber', u'kinda', u'pro', u'ppl', u'bro', u'vs', u'imo', u'rpg', u'buddy', u'ngl', u'lol', u'whoa', u'fav', u'wtf', u'tfw', u'lmao', u'g', u'r', u'u', u'idk', u'armpit', u'x', u'wanna']",384,16,0.055,0.385
23826987,M,395,405,5.17,4,12,1667,1.36,100,5,"[u'ugh', u'ppl', u'bro', u'gf', u'imo', u'buddy', u'ngl', u'nah', u'cuz', u'lol', u'm2', u'friggin', u'whoa', u'goof', u'omg', u'fyi', u'kinda', u'lvl', u'gg', u'lmao', u'g', u'dunno', u'goofy', u'x', u'wanna']",467,44,0.0372,0.229
24647958,F,169,4387,2.41,4,16,1665,2.64,6,566,"[u'u', u'btw', u'omg', u'lotta', u'g']",400,16,0.0048,0.9375
2813614712,M,2751,972,2.92,4,13,1665,0.54,19,0,"[u'mvp', u'nk', u'twt', u'wtf', u'g', u'congrats', u'bravo', u'cuz', u'fml', u'r', u'u', u'b-day']",449,75,0.1145,0.3263
29857145,M,1164,356,0.64,6,12,1655,2.11,1,13,[u'pro'],222,41,0.0152,0.7719
2851722084,M,522,807,0.51,4,16,1650,4.12,17,45,"[u'lil', u'dope', u'cuz', u'ppl', u'bro', u'smh']",388,12,0.0075,0.94
17443395,F,1275,2659,3.54,5,12,1641,2.34,30,2,"[u'uber', u'ikr', u'ugh', u'ftw', u'congrats', u'app', u'thx', u'cuz', u'lol', u'whoa', u'bro', u'goofy', u'u', u'yum', u'kinda', u'x', u'tfw', u'r', u'pro']",385,39,0.1981,0.5448
45692557,M,993,2160,1.99,5,11,1636,3.14,47,338,"[u'gg', u'nuh', u'ftw', u'nah', u'cuz', u'lol', u'til', u'r', u'kinda', u'jk', u'tfw', u'wanna', u'tbd', u'buddy']",383,17,0.3375,0.5225
260572528,M,560,83,0.67,5,16,1625,2.77,22,3,"[u'btw', u'g', u'fyi', u'cuz', u'ppl', u'yawn', u'vs', u'sec', u'wtf', u'u', u'r']",296,104,0.0125,0.3975
239161779,F,129,109,0.54,5,14,1622,0.17,11,244,"[u'omg', u'yolo', u'vs', u'lol', u'bae', u'yum', u'idk', u'kinda', u'wanna']",247,10,0,0.9611
750165691,M,305,591,3.73,5,8,1602,5.69,68,9,"[u'dope', u'ga', u'g', u'congrats', u'ngl', u'hmu', u'nah', u'cuz', u'lol', u'bro', u'vs', u'u', u'idk', u'wtf', u'lmk', u'app', u'wanna', u'shoulda', u'lotta']",626,59,0.0204,0.1445
7.67E+17,M,116,133,1.08,5,11,1596,1.86,183,209,"[u'ppl', u'bro', u'vs', u'imo', u'rpg', u'buddy', u'congrats', u'lil', u'nah', u'lol', u'smh', u'msg', u'whoa', u'dope', u'wtf', u'mvp', u'g', u'ur', u'r', u'u', u'idk', u'aight', u'aka', u'wanna']",497,3,0.094,0.476
113430807,M,1932,451,5.98,3,11,1592,9.3,30,12,"[u'b4', u'2nite', u'luv', u'ty', u'lil', u'lol', u'til', u'r', u'yum', u'friggin', u'2day', u'u']",400,0,0.06,1
2993049333,M,368,114,2.61,5,14,1587,1.33,9,1,"[u'mvp', u'ty', u'app', u'lol', u'u', u'wtf']",491,31,0.0498,0.3429
20255244,F,3030,2643,1.31,5,12,1581,1.64,8,80,"[u'x', u'fav', u'bff', u'kinda']",350,53,0,0.7519
22093585,F,740,211,4.81,4,12,1570,1.38,77,111,"[u'btw', u'omg', u'g', u'lil', u'cuz', u'lol', u'ppl', u'gf', u'gal', u'irl', u'kinda', u'smh', u'u', u'r', u'wanna']",435,14,0.0557,0.4388
