Unicode;Sentiment score emoji
U0001f602;0.221
U0002764;0.746
U0002665;0.658
U0001f60d;0.677
U0001f62d;-0.093
U0001f618;0.701
U0001f60a;0.644
U0001f44c;0.563
U0001f495;0.632
U0001f44f;0.52
U0001f601;0.45
U000263a;0.658
U0002661;0.669
U0001f44d;0.522
U0001f629;-0.368
U0001f64f;0.417
U000270c;0.463
U0001f60f;0.332
U0001f609;0.463
U0001f64c;0.56
U0001f648;0.432
U0001f4aa;0.555
U0001f604;0.421
U0001f612;-0.374
U0001f483;0.734
U0001f496;0.712
U0001f603;0.557
U0001f614;-0.146
U0001f631;0.19
U0001f389;0.738
U0001f61c;0.454
U000262f;0.001
U0001f338;0.65
U0001f49c;0.654
U0001f499;0.73
U0002728;0.351
U0001f633;0.018
U0001f497;0.657
U0002605;0.283
U0002588;-0.033
U0002600;0.465
U0001f621;-0.172
U0001f60e;0.491
U0001f622;0.007
U0001f48b;0.691
U0001f60b;0.631
U0001f64a;0.458
U0001f634;-0.081
U0001f3b6;0.537
U0001f49e;0.739
U0001f60c;0.482
U0001f525;0.139
U0001f4af;0.121
U0001f52b;-0.195
U0001f49b;0.709
U0001f481;0.326
U0001f49a;0.655
U000266b;0.288
U0001f61e;-0.118
U0001f606;0.409
U0001f61d;0.423
U0001f62a;-0.08
U000fffd;0.087
U0001f62b;-0.145
U0001f605;0.179
U0001f44a;0.227
U0001f480;-0.207
U0001f600;0.568
U0001f61a;0.71
U0001f63b;0.619
U000a9;0.117
U0001f440;0.063
U0001f498;0.683
U0001f413;0.028
U0002615;0.244
U0001f44b;0.413
U000270b;0.126
U0001f38a;0.722
U0001f355;0.417
U0002744;0.506
U0001f625;0.122
U0001f615;-0.397
U0001f4a5;0.148
U0001f494;-0.121
U0001f624;-0.209
U0001f608;0.266
U00025ba;0.162
U0002708;0.415
U0001f51d;0.474
U0001f630;-0.02
U00026bd;0.616
U0001f611;-0.311
U0001f451;0.695
U0001f639;0.141
U0001f449;0.39
U0001f343;0.378
U0001f381;0.76
U0001f620;-0.299
U0001f427;0.456
U0002606;0.428
U0001f340;0.285
U0001f388;0.718
U0001f385;0.318
U0001f613;-0.08
U0001f623;-0.212
U0001f610;-0.388
U000270a;0.429
U0001f628;-0.14
U0001f616;-0.155
U0001f4a4;0.371
U0001f493;0.664
U0001f44e;-0.187
U0001f4a6;0.471
U0002714;0.27
U0001f637;-0.169
U00026a1;0.177
U0001f64b;0.485
U0001f384;0.531
U0001f4a9;-0.116
U0001f3b5;0.5
U00027a1;0.147
U0001f61b;0.601
U0001f62c;0.194
U0001f46f;0.439
U0001f48e;0.561
U0001f33f;0.384
U0001f382;0.613
U0001f31f;0.327
U0001f52e;0.267
U0002757;0.1
U0001f46b;0.255
U0001f3c6;0.725
U0002716;0.311
U000261d;0.31
U0001f619;0.778
U00026c4;0.521
U0001f445;0.461
U000266a;0.534
U0001f342;0.547
U0001f48f;0.388
U0001f52a;0.07
U0001f334;0.525
U0001f448;0.423
U0001f339;0.6
U0001f646;0.5
U000279c;0.162
U0001f47b;0.228
U0001f4b0;0.251
U0001f37b;0.512
U0001f645;-0.202
U0001f31e;0.558
U0001f341;0.481
U0002b50;0.58
U00025aa;0.197
U0001f380;0.629
U0002501;0.176
U0002637;0.064
U0001f437;0.368
U0001f649;0.334
U0001f33a;0.549
U0001f485;0.388
U0001f436;0.576
U0001f31a;0.464
U0001f47d;0.315
U0001f3a4;0.477
U0001f46d;0.462
U0001f3a7;0.414
U0001f446;0.326
U0001f378;0.539
U0001f377;0.393
U000ae;0.279
U0001f349;0.597
U0001f607;0.587
U0002611;0.101
U0001f3c3;0.406
U0001f63f;-0.373
U0002502;0.343
U0001f4a3;0.007
U0001f37a;0.493
U00025b6;0.209
U0001f632;-0.068
U0001f3b8;0.515
U0001f379;0.658
U0001f4ab;0.5
U0001f4da;0.336
U0001f636;-0.142
U0001f337;0.538
U0001f49d;0.644
U0001f4a8;0.382
U0001f3c8;0.53
U0001f48d;0.478
U0002614;0.289
U0001f478;0.606
U0001f1ea;0.616
U0002591;-0.045
U0001f369;0.382
U0001f47e;0.361
U0002601;0.309
U0001f33b;0.57
U0001f635;0.085
U0001f4d2;0.038
U00021bf;0.647
U0001f42f;0.475
U0001f47c;0.334
U0001f354;0.278
U0001f638;0.41
U0001f476;0.435
U00021be;0.647
U0001f490;0.735
U0001f30a;0.5
U0001f366;0.459
U0001f353;0.67
U0001f447;0.248
U0001f486;0.221
U0001f374;0.536
U0001f627;-0.063
U0001f1f8;0.51
U0001f62e;0.269
U0002593;0.011
U0001f6ab;-0.439
U0001f63d;0.571
U0001f308;0.516
U0001f640;0.33
U00026a0;-0.066
U0001f3ae;0.427
U000256f;-0.012
U0001f346;0.403
U0001f370;0.448
U0002713;0.287
U0001f450;-0.023
U0001f647;0.139
U0001f35f;0.303
U0001f34c;0.436
U0001f491;0.658
U0001f46c;-0.059
U0001f423;0.476
U0001f383;0.596
U00025ac;0.464
U000fffc;-0.476
U0001f61f;0.073
U0001f43e;0.605
U0001f393;0.563
U0001f3ca;0.575
U0001f36b;0.152
U0001f4f7;0.431
U0001f444;0.474
U0001f33c;0.779
U0001f6b6;-0.143
U0001f431;0.513
U0002551;0.145
U0001f438;-0.08
U0001f1fa;0.54
U0001f47f;-0.535
U0001f6ac;0.521
U000273f;0.384
U0001f4d6;0.169
U0001f412;0.521
U0001f30d;0.591
U000250a;0.958
U0001f425;0.586
U0001f300;0.102
U0001f43c;0.261
U0001f3a5;0.29
U0001f484;0.435
U0001f4b8;0.16
U00026d4;0.486
U00025cf;0.177
U0001f3c0;0.254
U0001f489;0.358
U0001f49f;0.681
U0001f697;0.231
U0001f62f;0.123
U0001f4dd;0.231
U0002550;0.016
U0002666;0.454
U0001f4ad;0.206
U0001f319;0.59
U0001f41f;0.689
U0001f463;0.344
U000261e;0.115
U0002702;-0.459
U0001f5ff;0.443
U0001f35d;0.117
U0001f46a;-0.017
U0001f36d;0.3
U0001f303;0.39
U000274c;0.271
U0001f430;0.586
U0001f48a;0.431
U0001f6a8;0.638
U0001f626;-0.369
U0001f36a;0.316
U0001f363;-0.232
U000256d;0.161
U0002727;0.321
U0001f386;0.709
U000256e;0.127
U0001f38e;0.907
U0001f1e9;0.611
U0002705;0.407
U0001f479;0.058
U0001f4f1;0.308
U0001f64d;-0.327
U0001f351;0.25
U0001f3bc;0.327
U0001f50a;0.404
U0001f30c;0.52
U0001f34e;0.32
U0001f43b;0.44
U0002500;0.14
U0002570;-0.06
U0001f487;0.327
U000266c;0.245
U000265a;0.041
U0001f534;0.396
U0001f371;-0.313
U0001f34a;0.417
U0001f352;0.312
U0001f42d;0.687
U0001f45f;0.417
U0001f30e;0.319
U0001f34d;0.468
U0001f42e;0.587
U0001f4f2;0.239
U000263c;0.196
U0001f305;0.355
U0001f1f7;0.667
U0001f460;0.355
U0001f33d;0.445
U0001f4a7;-0.159
U0002753;0.068
U0001f36c;0.363
U0001f63a;0.396
U0001f434;0.07
U0001f680;0.488
U000a6;0.581
U0001f4a2;0.232
U0001f3ac;0.279
U0001f367;0.302
U0001f35c;0.395
U0001f40f;0.558
U0001f418;0.023
U0001f467;0.139
U0002800;0.046
U0001f3c4;0.524
U00027a4;0.309
U0002b06;0.285
U0001f34b;0.244
U0001f197;0.536
U00026aa;0.45
U0001f4fa;0.375
U0001f345;0.35
U00026c5;0.45
U0001f422;0.2
U0001f459;0.5
U0001f3e1;0.436
U0001f33e;0.538
U00025c9;0.256
U000270f;0.342
U0001f42c;0.421
U0001f364;0.053
U0001f1f9;0.579
U0002663;0.342
U0001f41d;0.21
U0001f31d;0.189
U0001f1ee;0.595
U0001f50b;-0.487
U0001f40d;0.351
U0002654;0.541
U0001f373;0.028
U0001f535;0.305
U0001f63e;-0.333
U0001f315;0.556
U0001f428;0.444
U0001f510;0.334
U0001f4bf;0.611
U0002741;0.055
U0001f333;0.485
U0001f470;0.486
U0002740;0.4
U0002693;0.571
U0001f6b4;0.657
U0002580;-0.143
U0001f457;0.236
U0002795;0.529
U0001f4ac;0.363
U0002592;-0.03
U0001f51c;0.273
U0001f368;0.212
U0001f4b2;0.243
U00026fd;0.151
U0001f359;0.281
U0001f357;0.062
U0001f372;0.125
U0001f365;-0.594
U00025b8;0.219
U000265b;0.188
U0001f63c;0.354
U0001f419;0.387
U0001f468;0.516
U0001f35a;0.451
U0001f356;0.129
U0002668;0.871
U0001f3b9;0.355
U0002655;0.387
U0002583;0.903
U0001f698;0.067
U0001f34f;0.066
U0001f469;0.067
U0001f466;0.133
U0001f1ec;0.267
U0001f1e7;0.267
U0002620;-0.034
U0001f420;0.414
U0001f6b9;0.69
U0001f4b5;0.379
U0002730;0.794
U0002560;0.207
U0001f45b;0.357
U0001f699;0.036
U0001f331;0.571
U0001f4bb;0.25
U0001f30f;0.321
U0002584;-0.071
U0001f453;0.296
U00025c4;0.222
U00026be;-0.037
U0001f332;0.385
U0001f474;0.231
U0001f3e0;0.5
U0001f347;0.269
U0001f358;0.384
U0001f35b;0.039
U0001f407;0.231
U0001f51e;-0.038
U0001f475;0.423
U00025c0;0.27
U0001f519;0.193
U0001f335;0.193
U0001f43d;0.12
U0001f36e;-0.12
U0001f387;0.68
U0001f40e;0.4
U0002794;-0.12
U0001f4b6;0
U0001f424;0.52
U0002569;0.2
U0001f6c0;0.125
U0001f311;0.458
U0001f6b2;0.375
U0001f411;-0.167
U0001f3c1;0.5
U0001f35e;0.041
U0001f3be;0.542
U000255a;0.291
U0001f239;0.292
U0001f433;0.131
U0001f46e;-0.348
U0002639;-0.522
U0001f435;0.478
U000272a;0.305
U00025d5;0.435
U0001f5fc;0.522
U0002590;-0.13
U0002660;0.305
U0002533;-0.348
U0001f47a;-0.182
U0001f41a;0.227
U0001f442;-0.137
U0001f5fd;0.318
U0001f375;0.363
U0001f192;0.364
U0001f36f;0.045
U0001f43a;0.228
U00021e8;0.455
U00027a8;0.137
U0001f313;0.591
U0001f512;0.182
U000256c;-0.136
U0001f473;0.619
U0001f302;0.238
U0001f68c;0.19
U0002669;0.523
U0001f361;-0.048
U0002765;0.238
U0001f3a1;0.286
U0001f48c;0.5
U0001f429;0.35
U0001f31c;0.5
U000231a;0.2
U0001f6bf;0.6
U0001f416;0.15
U0001f506;0.55
U0001f31b;0.55
U0001f482;-0.15
U0001f414;0.3
U0001f64e;-0.05
U0001f3e9;0.421
U0001f1eb;0.473
U0001f528;-0.105
U0001f4e2;0.421
U0001f426;0.421
U0001f432;-0.053
U000267b;0.473
U0001f318;0.579
U0001f350;0.158
U0001f314;0.579
U0002565;0.106
U000274a;0
U0001f456;0.333
U0001f6ba;0.166
U0001f617;0.611
U0001f3ad;0
U0001f404;0.277
U00025df;-0.056
U0001f362;-0.111
U0001f3a8;0.167
U0002b07;0.389
U0001f6bc;0.555
U00026f2;0.056
U0002581;0
U0001f1f4;0.333
U0001f317;0.611
U0001f316;0.611
U0001f505;0.833
U0001f45c;0.236
U0001f40c;0.647
U0001f4bc;0.529
U0001f695;0
U0001f439;0.294
U0001f320;0.53
U0001f408;0.294
U00021e7;0.117
U000260e;0
U0001f301;0.176
U00026ab;0.236
U0002667;0.47
U0001f3f0;0.294
U0001f6b5;0.353
U0001f3a2;0.47
U0001f3b7;0.647
U0001f390;0.176
U0002508;-0.589
U0002557;0.353
U0002571;0
U0001f307;0.5
U00023f0;0.437
U00021e9;0
U0001f682;0.25
U00025e0;0.437
U0001f3bf;0.375
U0002726;0.062
U0001f194;0.75
U00026ea;0.125
U0001f312;0.562
U0001f42a;0.562
U0002554;0.25
U000255d;0.437
U0001f454;0.333
U0001f531;0.066
U0001f193;0.2
U0001f40b;0.2
U00025bd;0.4
U0002582;0
U0001f41b;0.267
U0001f455;0.4
U0001f68b;0.066
U0001f4b3;0.4
U0001f306;0.133
U0001f3e7;0.8
U0001f4a1;0.6
U0001f539;0.133
U0002b05;0.466
U0001f360;0
U0001f42b;0.333
U0001f3ea;0.067
U0006e9;0
U0001f1f1;0.4
U0001f4f9;0.428
U0001f45e;0.428
U0001f691;0.071
U0001f198;0.072
U0001f45a;0.572
U0001f68d;0.072
U00025a1;-0.214
U0001f402;0.143
U0001f6a3;0.572
U0002733;0
U0001f3c9;0.5
U0001f5fb;0.572
U0001f400;0.143
U0002566;0.358
U00026fa;0.461
U0001f415;0.231
