word,emotion,color,orientation,sentiment,subjectivity,source
1,trust,,,,,extended_emolex
13th,fear,,,,,extended_emolex
144,disgust,,,,,extended_emolex
2-faced,,,,negative,,opinion
2-faces,,,,negative,,opinion
a+,,,,positive,,opinion
aback,,brown,,,,colour
abacus,trust,,,,,emolex
abandon,fear,,,negative,weak,emolex
abandoned,anger,black,,negative,weak,emolex
abandonment,anger,black,,negative,weak,emolex
abase,anger,,,negative,strong,extended_emolex
abasement,disgust,,,negative,strong,extended_emolex
abash,sadness,,,negative,strong,extended_emolex
abate,,,passive,negative,weak,mpqa
abatement,fear,,,,,extended_emolex
abattoir,anger,,,,,extended_emolex
abba,,,,positive,,emolex
abbot,trust,,,,,emolex
abbreviate,anger,,,,,extended_emolex
abdicate,anger,,passive,negative,weak,extended_emolex
abdomen,disgust,,,,,extended_emolex
abduct,anger,,,,,extended_emolex
abduction,fear,white,,negative,,emolex
aberrance,disgust,,,,,extended_emolex
aberrancy,disgust,,,,,extended_emolex
aberrant,,,,negative,,emolex
aberration,disgust,orange,,negative,strong,emolex
abeyance,fear,grey,,,,extended_emolex
abhor,anger,black,passive,negative,strong,emolex
abhorred,,,,negative,strong,mpqa
abhorrence,anger,,,negative,strong,extended_emolex
abhorrent,anger,,,negative,strong,emolex
abhorrently,,,,negative,strong,mpqa
abhors,,,,negative,strong,mpqa
abidance,trust,,,positive,strong,extended_emolex
abide,anger,,active,positive,strong,extended_emolex
abide_by,anticipation,,,,,extended_emolex
abilities,,,,positive,weak,mpqa
ability,,,,positive,weak,emolex
abject,disgust,,passive,negative,strong,emolex
abjectly,,,,negative,strong,mpqa
abjure,anger,,,negative,weak,extended_emolex
ablaze,,red,,,,colour
able,,,,positive,weak,mpqa
abnegate,anger,,,,,extended_emolex
abnormal,disgust,,,negative,weak,emolex
aboard,,blue,,,,colour
abode,,brown,,,,colour
abolish,anger,,active,negative,weak,emolex
abolition,,black,,negative,,emolex
abominable,disgust,,,negative,strong,emolex
abominably,sadness,,,negative,strong,extended_emolex
abominate,anger,,,negative,strong,extended_emolex
abomination,anger,black,,negative,strong,emolex
aboriginal,,brown,,,,colour
abort,,,,negative,,emolex
aborted,,,,negative,,opinion
abortion,disgust,black,,negative,,emolex
abortive,sadness,,,negative,,emolex
aborts,,,,negative,,opinion
abound,,,passive,positive,weak,opinion
abounds,,,,positive,,opinion
about-face,anger,,,,,extended_emolex
above,,,,positive,weak,mpqa
above-average,,,,positive,weak,mpqa
aboveboard,trust,,,,,extended_emolex
abovementioned,,grey,,positive,,emolex
abrade,,,,negative,weak,opinion
abrasion,,,,negative,,emolex
abrasive,,,,negative,strong,opinion
abrasiveness,anger,,,,,extended_emolex
abridge,anger,,,,,extended_emolex
abroad,,blue,,,,colour
abrogate,,,,negative,,emolex
abrogation,sadness,,,,,extended_emolex
abrupt,surprise,,,negative,weak,emolex
abruptly,surprise,red,,negative,,extended_emolex
abscess,sadness,,,negative,,emolex
abscond,,,active,negative,strong,opinion
absence,fear,white,,negative,weak,emolex
absence_seizure,fear,,,,,extended_emolex
absent,sadness,white,passive,negative,,emolex
absent-minded,,,passive,negative,strong,opinion
absentee,sadness,,,negative,weak,emolex
absenteeism,,,,negative,,emolex
absentminded,sadness,,,,,extended_emolex
absinthe,,green,,,,colour
absolute,trust,,,positive,strong,emolex
absolute_majority,joy,,,,,extended_emolex
absolutely,,,,,strong,mpqa
absolution,joy,,,positive,,emolex
absolutism,anger,,,,,extended_emolex
absolve,,,active,positive,strong,mpqa
absolvitory,trust,,,,,extended_emolex
absorb,anticipation,,,,,extended_emolex
absorbed,fear,,,positive,weak,emolex
absorbent,,white,,positive,,inquirer
absorption,,,,positive,,inquirer
abstain,anger,,,,,extended_emolex
abstract,anger,,,,,extended_emolex
abstracted,sadness,,,,,extended_emolex
absurd,anger,,,negative,strong,emolex
absurdity,,,,negative,strong,emolex
absurdly,,,,negative,strong,opinion
absurdness,,,,negative,strong,opinion
abundance,anticipation,green,,negative,weak,emolex
abundant,joy,,,positive,weak,emolex
abuse,anger,black,active,negative,weak,emolex
abused,,,,negative,,opinion
abuses,,,,negative,weak,opinion
abusive,,,,negative,strong,opinion
aby,anticipation,,,,,extended_emolex
abye,anticipation,,,,,extended_emolex
abysm,fear,,,,,extended_emolex
abysmal,sadness,black,,negative,strong,emolex
abysmally,sadness,,,negative,strong,extended_emolex
abyss,fear,black,,negative,strong,emolex
abyssal,sadness,,,,,extended_emolex
academic,trust,,,positive,,emolex
academician,trust,,,,,extended_emolex
academy,,,,positive,,emolex
acantha,anger,,,,,extended_emolex
accede,anticipation,,active,positive,strong,extended_emolex
accelerate,anticipation,purple,active,,,emolex
acceleration,,,active,,,inquirer
accelerator,anger,,,,,extended_emolex
accelerator_pedal,anger,,,,,extended_emolex
accent,trust,,,,,extended_emolex
accentuate,trust,,active,positive,strong,extended_emolex
accept,anger,yellow,passive,positive,weak,extended_emolex
acceptable,,,,positive,weak,emolex
acceptance,trust,,passive,positive,weak,emolex
access,,green,,,,colour
accessable,,,,positive,,opinion
accessible,,,,positive,weak,emolex
accession,,,,positive,,inquirer
accident,fear,red,,negative,,emolex
accidental,fear,,,negative,weak,emolex
accidental_injury,anger,,,,,extended_emolex
accidentally,surprise,,,,,emolex
acclaim,anger,,,positive,strong,extended_emolex
acclaimed,,,,positive,strong,opinion
acclamation,,,,positive,strong,opinion
acclivitous,anticipation,,,,,extended_emolex
accolade,anticipation,,,positive,strong,emolex
accolades,,,,positive,strong,opinion
accommodate,anger,,active,positive,,extended_emolex
accommodation,anticipation,,,positive,,emolex
accommodative,trust,,,positive,weak,extended_emolex
accomodative,,,,positive,,opinion
accompaniment,anticipation,,,positive,,emolex
accompany,joy,,active,,,extended_emolex
accompanying,anticipation,,,,,extended_emolex
accomplice,trust,,,,,extended_emolex
accomplish,joy,,active,positive,weak,emolex
accomplished,joy,,,positive,,emolex
accomplishment,anticipation,,active,positive,weak,emolex
accomplishments,,,,positive,weak,opinion
accord,trust,,,positive,weak,emolex
accordance,trust,,,positive,weak,extended_emolex
accordant,trust,,,,,extended_emolex
accordantly,,,,positive,weak,mpqa
accordion,,black,,,,colour
accost,anticipation,,active,negative,weak,extended_emolex
accoucheur,trust,,,,,extended_emolex
accoucheuse,anticipation,,,,,extended_emolex
account,trust,,active,,,emolex
account_statement,trust,,,,,extended_emolex
accountability,trust,,,positive,,emolex
accountable,trust,,,positive,weak,emolex
accountant,trust,green,,,,emolex
accounting,trust,,,,,extended_emolex
accounts,trust,,,,,emolex
accredit,trust,,,,,extended_emolex
accredited,trust,,,positive,,emolex
accrue,sadness,green,active,positive,,extended_emolex
accueil,,,,positive,,emolex
accumulate,trust,,active,,,extended_emolex
accumulation,,,active,,,inquirer
accuracy,trust,,,positive,,extended_emolex
accurate,trust,,,positive,weak,emolex
accurately,,,,positive,weak,opinion
accurateness,,,,positive,,inquirer
accurse,anger,,,,,extended_emolex
accursed,anger,black,,negative,strong,emolex
accurst,anger,,,,,extended_emolex
accusal,anger,,,,,extended_emolex
accusation,anger,,,negative,strong,emolex
accusations,,,,negative,strong,opinion
accusative,anger,red,,negative,,emolex
accusatory,anger,,,,,extended_emolex
accuse,anger,,,negative,strong,extended_emolex
accused,anger,red,,negative,,emolex
accuser,anger,black,,negative,,emolex
accuses,,,,negative,strong,opinion
accusing,anger,,,negative,strong,emolex
accusingly,,,,negative,strong,opinion
accusive,anger,,,,,extended_emolex
accustom,,,passive,,,inquirer
accustomed,anticipation,,,,,extended_emolex
ace,anticipation,black,,positive,,emolex
acedia,disgust,,,,,extended_emolex
acerbate,,,,negative,strong,opinion
acerbic,,,,negative,strong,opinion
acerbically,,,,negative,strong,opinion
acerbity,anger,,,,,extended_emolex
acetify,disgust,,,,,extended_emolex
ache,sadness,,passive,negative,strong,emolex
ached,,,,negative,,opinion
aches,,,,negative,,opinion
achey,,,,negative,,opinion
achievable,,,,positive,weak,opinion
achieve,joy,green,active,positive,weak,emolex
achievement,anticipation,yellow,active,positive,weak,emolex
achievements,,,,positive,weak,opinion
achiever,anticipation,,,,,extended_emolex
achievible,,,,positive,,opinion
aching,sadness,red,,negative,,emolex
achromatic,anticipation,,,,,extended_emolex
achy,sadness,,,,,extended_emolex
acid,joy,,,negative,,emolex
acidify,disgust,,,,,extended_emolex
acidity,disgust,,,,,extended_emolex
acidulate,disgust,,,,,extended_emolex
acknowledge,,,,positive,weak,mpqa
acknowledgement,,,,positive,weak,mpqa
acknowledgment,trust,,,positive,,emolex
acme,anticipation,yellow,,,,extended_emolex
acquaint,anticipation,,,positive,,extended_emolex
acquaintance,anticipation,,,positive,,extended_emolex
acquainted,,yellow,,,,colour
acquire,anticipation,green,active,positive,,emolex
acquiring,anticipation,,,positive,,emolex
acquisition,,,active,,,inquirer
acquisitions,,grey,,,,colour
acquit,anger,,,positive,weak,extended_emolex
acquittal,,,,positive,,inquirer
acreage,,green,,,,colour
acres,,green,,,,colour
acrid,disgust,,,negative,strong,extended_emolex
acridly,,,,negative,strong,opinion
acridness,,,,negative,strong,opinion
acrimonious,,,,negative,strong,opinion
acrimoniously,,,,negative,strong,opinion
acrimony,anger,,passive,negative,strong,extended_emolex
acrobat,fear,,,positive,,emolex
across-the-board,trust,,,,,extended_emolex
act,anger,,active,,,extended_emolex
act_of_terrorism,anger,,,,,extended_emolex
acting,,orange,,,,colour
actinotherapy,fear,,,,,extended_emolex
action,anger,green,active,positive,,emolex
actionable,anger,,,negative,,emolex
activate,anger,,,,,extended_emolex
activated,anticipation,,,,,extended_emolex
active,anger,,active,positive,weak,extended_emolex
activist,,,,,strong,mpqa
activity,,,active,,,inquirer
actor,,,active,,,inquirer
actor's_line,anger,,,,,extended_emolex
actual,trust,,,positive,strong,emolex
actualise,trust,,,,,extended_emolex
actuality,,black,,positive,strong,mpqa
actualize,trust,,,,,extended_emolex
actually,,,,,strong,mpqa
actuate,anger,,,,,extended_emolex
actus_reus,anger,,,,,extended_emolex
acuity,,,,positive,,emolex
acumen,,,,positive,strong,emolex
acute,anger,,,,,extended_emolex
acute_anterior_poliomyelitis,fear,,,,,extended_emolex
ad-lib,anticipation,,,,,extended_emolex
adam,anticipation,,,,,extended_emolex
adam_smith,trust,,,,,extended_emolex
adamant,joy,,,negative,strong,extended_emolex
adamantly,,,,negative,strong,opinion
adapt,,,active,positive,,emolex
adaptability,,,,positive,weak,mpqa
adaptable,,,,positive,weak,emolex
adaptation,,,,positive,,inquirer
adaptive,,,,positive,weak,opinion
add,trust,,,,,extended_emolex
add-in,anticipation,,,,,extended_emolex
add_up,anticipation,,,,,extended_emolex
added,,red,,,,colour
adder,anger,,,negative,,emolex
addict,,,,negative,weak,opinion
addicted,,,,negative,,opinion
addicting,,,,negative,,opinion
addiction,fear,black,,negative,weak,emolex
addicts,,,,negative,,opinion
addition,anticipation,,,,,extended_emolex
addle-head,disgust,,,,,extended_emolex
addlehead,disgust,,,,,extended_emolex
address,anger,,active,,,extended_emolex
addresses,anticipation,blue,,positive,,emolex
adept,anticipation,,,positive,weak,emolex
adeptly,,,,positive,weak,mpqa
adeptness,surprise,,,positive,,extended_emolex
adequacy,,,,positive,,emolex
adequate,,grey,,positive,weak,opinion
adhere,fear,,passive,,,extended_emolex
adherence,,,,positive,weak,mpqa
adherent,trust,,,positive,weak,extended_emolex
adhering,trust,,,,,emolex
adhesion,,,,positive,weak,mpqa
adhesive,,,,positive,,inquirer
adieu,anticipation,blue,,,,extended_emolex
adios,anticipation,,,,,extended_emolex
adipose,,,,negative,,emolex
adipose_tissue,disgust,,,,,extended_emolex
adjourn,fear,,,,,extended_emolex
adjournment,anger,,passive,,,extended_emolex
adjudicate,fear,,,negative,,emolex
adjunct,,grey,,positive,,emolex
adjure,anticipation,,,,,extended_emolex
adjust,,,,positive,,inquirer
adjustable,,,,positive,,opinion
adjustment,anticipation,,passive,positive,,extended_emolex
administer,anticipation,,active,,,extended_emolex
administration,anticipation,,active,,,extended_emolex
administrative,trust,,active,,,emolex
administrative_official,disgust,,,,,extended_emolex
admirable,joy,,,positive,strong,emolex
admirably,joy,,,positive,strong,extended_emolex
admiral,trust,,,positive,,emolex
admiration,joy,white,,positive,strong,emolex
admire,trust,,passive,positive,strong,emolex
admirer,anticipation,pink,,positive,strong,emolex
admiring,,,,positive,strong,opinion
admiringly,,,,positive,strong,opinion
admissible,trust,,passive,positive,,emolex
admission,,,passive,positive,weak,mpqa
admit,,,passive,positive,strong,mpqa
admittance,,,active,positive,,inquirer
admittedly,joy,,,positive,strong,extended_emolex
admitting,,blue,,,,colour
admonish,anger,,active,negative,strong,extended_emolex
admonisher,,,,negative,strong,opinion
admonishingly,,,,negative,strong,opinion
admonishment,fear,,,negative,strong,extended_emolex
admonition,fear,,active,negative,strong,emolex
admonitory,fear,,,,,extended_emolex
ado,anger,,,,,extended_emolex
adolescents,,,,,strong,mpqa
adopt,anticipation,yellow,passive,,,extended_emolex
adorable,joy,,,positive,strong,emolex
adoration,joy,pink,,positive,,emolex
adore,anticipation,pink,active,positive,strong,emolex
adored,,,,positive,strong,opinion
adorer,,,,positive,strong,opinion
adoring,,,,positive,strong,opinion
adoringly,,,,positive,strong,opinion
adorn,joy,pink,active,positive,,extended_emolex
adornment,,,,positive,,inquirer
adrift,anticipation,grey,,negative,weak,emolex
adroit,,,,positive,strong,opinion
adroitly,,,,positive,strong,opinion
adroitness,surprise,,,,,extended_emolex
adulate,,,,positive,strong,opinion
