ADMIRATION	AGRE	ANXIETY	AVOIDANCE	CONS	EXTR	NARCISSISM	NEUR	OPEN	RIVALRY	twitter_uid
0.0	4.25	1.5	2.722	4.0	3.0	0.667	1.0	5.0	1.333	720946756683345920
2.667	3.25	4.222	4.167	3.25	3.5	3.0	2.25	4.0	3.333	254860038
0.0	2.5	2.111	4.611	4.0	2.0	0.333	2.5	3.5	0.667	373121684
0.0	4.75	1.833	2.167	4.25	3.5	0.0	1.25	4.0	0.0	24844232
0.0	4.75	5.611	5.611	2.5	1.0	0.667	4.75	3.5	1.333	620019338
3.0	4.75	1.111	1.722	4.5	4.75	2.333	1.0	5.0	1.667	2922006952
3.0	5.0	1.778	1.722	4.75	4.5	1.833	1.0	5.0	0.667	818846536067117056
0.667	4.25	1.333	4.944	4.5	4.75	0.333	1.75	3.75	0.0	1034132506596048896
0.667	4.0	4.056	5.222	2.0	1.5	1.0	4.25	4.0	1.333	1634500537
2.667	4.5	1.944	2.667	4.0	3.75	2.833	1.5	4.0	3.0	336213824
2.0	2.5	3.667	5.667	4.0	2.0	2.5	2.5	3.25	3.0	11437072
2.333	4.5	3.056	3.944	3.0	2.0	2.167	2.5	3.0	2.0	50496661
3.667	2.0	1.833	4.778	3.75	2.25	4.167	4.75	4.0	4.667	88884274
4.0	4.25	2.389	3.0	4.5	3.0	4.167	1.75	5.0	4.333	2851762622
0.0	4.5	2.167	2.722	3.25	1.25	0.0	2.5	4.0	0.0	1367875536
3.0	2.5	2.556	4.889	3.25	2.25	3.5	2.75	3.75	4.0	4568964197
3.0	1.75	3.778	5.333	4.75	2.0	3.333	4.0	2.0	3.667	23174827
1.333	5.0	3.111	3.611	2.5	3.5	1.5	1.75	3.5	1.667	1523522078
3.0	4.0	2.0	3.056	5.0	2.0	2.5	1.75	4.0	2.0	27380879
1.333	2.25	2.889	5.611	3.0	1.25	2.0	4.0	2.0	2.667	16511183
1.0	3.5	2.667	2.667	3.0	3.25	1.333	3.75	5.0	1.667	27957790
3.667	3.5	4.833	4.889	4.0	2.0	2.833	3.0	3.0	2.0	85207150
0.0	5.0	1.0	1.0	5.0	3.0	0.0	1.0	5.0	0.0	1027619316936724482
3.0	4.25	3.667	2.667	4.25	4.0	2.667	2.25	4.0	2.333	26334121
3.0	4.5	2.278	3.111	3.5	1.0	2.5	2.75	4.75	2.0	1005610523654787072
0.0	3.25	1.556	4.556	2.0	1.0	0.0	2.75	2.5	0.0	21512869
0.667	4.5	1.0	2.889	2.0	4.5	1.5	1.25	5.0	2.333	5571722
2.0	4.25	1.389	1.667	4.0	2.0	1.0	1.75	5.0	0.0	528605639
3.333	2.75	4.278	4.389	3.5	1.75	3.0	3.0	3.0	2.667	542165736
3.667	3.5	3.0	4.778	5.0	3.25	3.833	2.0	4.25	4.0	117226657
1.667	4.75	4.333	4.278	1.75	4.0	1.5	2.75	4.75	1.333	265831852
2.0	4.0	2.5	2.167	3.5	3.75	2.0	2.0	4.0	2.0	4091239701
2.0	3.75	2.944	5.056	2.5	1.5	2.0	2.75	3.75	2.0	26854009
1.0	4.25	4.444	4.944	2.75	2.0	0.5	2.25	4.75	0.0	425946507
0.667	2.25	4.389	3.889	2.5	2.25	1.667	3.0	3.5	2.667	5754082
0.0	5.0	1.556	2.278	3.25	3.25	0.0	1.0	4.5	0.0	241835139
0.0	4.5	1.167	2.222	4.5	2.25	0.0	1.5	5.0	0.0	232833638
1.333	4.25	3.722	4.444	4.0	2.0	1.833	2.75	3.5	2.333	164640266
0.0	4.0	1.333	3.556	4.75	1.75	0.333	2.0	3.0	0.667	2372361066
0.0	3.25	1.056	1.889	5.0	4.5	0.0	1.0	5.0	0.0	955841032733757440
1.333	4.75	1.056	2.167	4.5	2.25	1.0	1.0	5.0	0.667	7416992
3.333	3.75	2.222	4.278	4.75	2.25	2.667	2.5	5.0	2.0	28325727
0.0	5.0	1.0	5.056	2.0	4.0	0.0	2.0	4.75	0.0	938167910886862848
